list_name,name,label,label_dari,label_pashto,ao,province
district,AF1303,Zurmat,زرمت,زرمت,KAO,AF13
district,AF1212,Ziruk,زیروک,زیروک,KAO,AF12
district,AF3205,Zindajan,زنده جان,زنده جان,HAO,AF32
district,AF3217,Zer-i-Koh,زيرکوه  ,زيرکوه  ,HAO,AF32
district,AF3216_1,Zer Kohe,زیر کوهی,زیر کوهی,HAO,AF32
district,AF3220,Zawol,زاول ,زاول ,HAO,AF32
district,AF3216_4,Zawol,زوال,زوال,HAO,AF32
district,AF1207,Zarghun Shahr,زرغون شهر,زرغون شهر,KAO,AF12
district,AF1108,Zanakhan,زنه خان,زنه خان,KAO,AF11
district,AF1305,Zadran,زدران,زدران,KAO,AF13
district,AF1203,Yosuf Khel,یوسف خیل,یوسف خیل,KAO,AF12
district,AF10NA2,Yakawlang-i-No2,یکاولنگ نمبر۲,یکاولنگ نمبر۲,KAO,AF10
district,AF1005,Yakawlang,یکاولنگ,یکاولنگ,KAO,AF10
district,AF1204,Yahya Khel,یحیی خیل,یحیی خیل,KAO,AF12
district,AF1218,Wormamay,ورممی,ورممی,KAO,AF12
district,AF1217,Wazakhah,وازه خواه,وازه خواه,KAO,AF12
district,AF1007,Waras,ورس,ورس,KAO,AF10
district,AF1102,Wal-e-Muhammad-e-Shahid,ولی محمد شهید,ولی محمد شهید,KAO,AF11
district,AF1104,Waghaz,واغز,واغز,KAO,AF11
district,AF1211,Urgun,ارگون,ارگون,KAO,AF12
district,AF1219,Turwo,تروو,تروو,KAO,AF12
district,AF2309,Tolak,تولک,تولک,HAO,AF23
district,AF1408,Terezayi,تیریزائی,تیریزائی,KAO,AF14
district,AF2308,Taywarah,تیوره,تیوره,HAO,AF23
district,AF1404,Tani,تڼی,تڼی,KAO,AF14
district,AF0206,Tagab,تگاب,تگاب,KAO,AF02
district,AF0115,Surobi,سروبی,سروبی,KAO,AF01
district,AF1210,Surobi_Pak,شرنه,شرنه,KAO,AF12
district,AF0309,Surkh-e-Parsa,سرخ پارسا,سرخ پارسا,KAO,AF03
district,AF1411,Spera,سپیره,سپیره,KAO,AF14
district,AF0806,Shutul,شتل,شتل,KAO,AF08
district,AF12NA4,Shkin,شکن,شکن,KAO,AF12
district,AF0303,Shinwari,شینواری,شینواری,KAO,AF03
district,AF3214,Shindand,شینډنډ,شینډنډ,HAO,AF32
district,AF3305,Shibkoh,شیب کوه,شیب کوه,HAO,AF33
district,AF1002,Shibar,شیبر,شیبر,KAO,AF10
district,AF0310,Shekh Ali,شیخ علی,شیخ علی,KAO,AF03
district,AF1304,Shawak,شواک,شواک,KAO,AF13
district,AF1201,Sharan,سروبی,سروبی,KAO,AF12
district,AF1412,Shamal,شمل,شمل,KAO,AF14
district,AF0106,Shakar Dara,شکردره,شکردره,KAO,AF01
district,AF2402,Shahrestan,شهرستان,شهرستان,KAO,AF24
district,AF2306,Shahrak,شهرک,شهرک,HAO,AF23
district,AF1003,Sayghan,سیغان,سیغان,KAO,AF10
district,AF0304,Sayed Khel,سیدخیل,سیدخیل,KAO,AF03
district,AF1306,Sayed Karam,سید کرم,سید کرم,KAO,AF13
district,AF0405,Saydabad,سیدآباد,سیدآباد,KAO,AF04
district,AF1205,Sar Rawzah,سرروضه,سرروضه,KAO,AF12
district,AF0615,Achin,آچین,آچین,JAO,AF06
district,AF0615_1,Spinghar,سپین غر,سپین غر,JAO,AF06
district,AF0609,Bati Kot,بتی کوت,بتی کوت,JAO,AF06
district,AF0602,Behsud,بهسود,بهسود,JAO,AF06
district,AF0604,Chaparhar,چپرهار,چپرهار,JAO,AF06
district,AF0612,Dara-e-Nur,دره نور,دره نور,JAO,AF06
district,AF0610,Deh Bala,ده بالا,ده بالا,JAO,AF06
district,AF0622,Dur Baba,دوربابا,دوربابا,JAO,AF06
district,AF0614,Goshta,گوشته,گوشته,JAO,AF06
district,AF0621,Hesarak,حصارک,حصارک,JAO,AF06
district,AF0601,Jalalabad,جلال آباد,جلال آباد,JAO,AF06
district,AF0605,Kama,کامه,کامه,JAO,AF06
district,AF0608,Khogyani,خوگیانی,خوگیانی,JAO,AF06
district,AF0613,Kot,کوت,کوت,JAO,AF06
district,AF0606,Kuz Kunar,کوزکنر,کوزکنر,JAO,AF06
district,AF0618,Lalpur,لعل پور,لعل پور,JAO,AF06
district,AF0617,Muhmand Dara,مهمند دره,مهمند دره,JAO,AF06
district,AF0620,Nazyan,نازیان,نازیان,JAO,AF06
district,AF0611,Pachir Wa Agam,پچیر آگام,پچیر آگام,JAO,AF06
district,AF0607,Rodat,رودات,رودات,JAO,AF06
district,AF0619,Sherzad,شیرزاد,شیرزاد,JAO,AF06
district,AF0616,Shinwar,شینوار,شینوار,JAO,AF06
district,AF0603,Surkh Rod,سرخ رود,سرخ رود,JAO,AF06
district,AF0704,Alingar,علینگار,علینگار,JAO,AF07
district,AF0703,Alishang,علیشنگ,علیشنگ,JAO,AF07
district,AF0705,Dawlatshah,دولت شاه,دولت شاه,JAO,AF07
district,AF0701,Mehtarlam,مهترلام,مهترلام,JAO,AF07
district,AF0702,Qarghayi,قرغه ای,قرغه ای,JAO,AF07
district,AF0706,Badpash,باد پخ,باد پخ,JAO,AF07
district,AF2407,Sang-e-Takht,سنگ تخت,سنگ تخت,KAO,AF24
district,AF0306,Salang,سالنگ,سالنگ,KAO,AF03
district,AF2310,Saghar,ساغر,ساغر,HAO,AF23
district,AF1407,Sabari,صبری,صبری,KAO,AF14
district,AF0802,Rukha,روخه,روخه,KAO,AF08
district,AF1315,Rohani Baba,روحانی بابا,روحانی بابا,KAO,AF13
district,AF1109,Rashidan,رشیدان,رشیدان,KAO,AF11
district,AF0114,Qara Bagh,قره باغ,قره باغ,KAO,AF01
district,AF0907,Andarab,اندراب,اندراب,FAO,AF09
district,AF0905,Baghlan-e-Jadid,بغلان جدید,بغلان جدید,FAO,AF09
district,AF0910,Burka,برکه,برکه,FAO,AF09
district,AF0902,Dahana-e-Ghori,دهانه غوری,دهانه غوری,FAO,AF09
district,AF0908,Deh Salah,ده صلاح,ده صلاح,FAO,AF09
district,AF0903,Doshi,دوشی,دوشی,FAO,AF09
district,AF0915,Fereng Wa Gharu,فرنگ و غارو,فرنگ و غارو,FAO,AF09
district,AF0914,Guzargah-e-Nur,گذرگاه نور,گذرگاه نور,FAO,AF09
district,AF0906,Khinjan,خنجان,خنجان,FAO,AF09
district,AF0913,Khost Wa Fereng,خوست و فرنگ,خوست و فرنگ,FAO,AF09
district,AF0909,Khwaja Hejran,خواجه هجران,خواجه هجران,FAO,AF09
district,AF0904,Nahrin,نهرین,نهرین,FAO,AF09
district,AF0912,Pul-e-Hisar,پل حصار,پل حصار,FAO,AF09
district,AF0901,Pul-e-Khumri,پل خمری,پل خمری,FAO,AF09
district,AF0911,Tala Wa Barfak,تاله و برفک,تاله و برفک,FAO,AF09
district,AF1111,Qara Bagh,قره باغ,قره باغ,KAO,AF11
district,AF1410,Qalandar,قلندر,قلندر,KAO,AF14
district,AF3101,Qala-e-Naw,قلعه نو,قلعه نو,HAO,AF31
district,AF3304,Qala-e-Kah,قلعه کاه,قلعه کاه,HAO,AF33
district,AF3104,Qadis,قادس,قادس,HAO,AF31
district,AF3302,Pushtrod,پشت رود,پشت رود,HAO,AF33
district,AF3218,Pusht-i-Koh,پشت کوه,پشت کوه,HAO,AF32
district,AF3311,Pur Chaman,پرچمن,پرچمن,HAO,AF33
district,AF0501,Pul-e-Alam,پل علم,پل علم,KAO,AF05
district,AF3216_2,poshtko,پوشت کوه,پوشت کوه,HAO,AF32
district,AF24NA1,Patoo,پاتو,پاتو,KAO,AF24
district,AF3206,Pashtun Zarghun,پشتون زرغون,پشتون زرغون,HAO,AF32
district,AF2305,Pasaband,پسابند,پسابند,HAO,AF23
district,AF0807,Paryan,پریان,پریان,KAO,AF08
district,AF1006,Panjab,پنجاب,پنجاب,KAO,AF10
district,AF0102,Paghman,پغمان,پغمان,KAO,AF01
district,AF1206,Omna,اومنه,اومنه,KAO,AF12
district,AF3212,Obe,اوبه,اوبه,HAO,AF32
district,AF2401,Nili,نیلی,نیلی,KAO,AF24
district,AF1213,Nika,نکه,نکه,KAO,AF12
district,AF0205,Nijrab,نجراب,نجراب,KAO,AF02
district,AF12NA3,Niamatabad,نعمت اباد,نعمت اباد,KAO,AF12
district,AF0402,Nerkh,نرخ,نرخ,KAO,AF04
district,AF1110,Nawur,ناور,ناور,KAO,AF11
district,AF1119,Nawa,ناوه,ناوه,KAO,AF11
district,AF1406,Nadir Shah Kot,نادر شاه کوټ,نادر شاه کوټ,KAO,AF14
district,AF0107,Musahi,موسهی,موسهی,KAO,AF01
district,AF1405,Musa Khel,موسی خیل,موسی خیل,KAO,AF14
district,AF2311,Murghab,مرغاب,مرغاب,HAO,AF23
district,AF1115,Muqur,مقر,مقر,KAO,AF11
district,AF3103,Muqur,مقر,مقر,HAO,AF31
district,AF0505,Mohammad Agha,محمد آغه,محمد آغه,KAO,AF05
district,AF1313,Mirzaka,میرزکه,میرزکه,KAO,AF13
district,AF2406,Miramor,میرامور,میرامور,KAO,AF24
district,AF0108,Mir Bacha Kot,میربچه کوت,میربچه کوت,KAO,AF01
district,AF0401,Maydan Shahr,میدان شهر,میدان شهر,KAO,AF04
district,AF1401,Matun,خوست (متون),خوست (متون),KAO,AF14
district,AF1202,Mata Khan,متاخان,متاخان,KAO,AF12
district,AF0409,Markaz-e-Behsud,مرکز بهسود,مرکز بهسود,KAO,AF04
district,AF1402,Mandozayi,مندوزی,مندوزی,KAO,AF14
district,AF1116,Malistan,مالستان,مالستان,KAO,AF11
district,AF0201,Mahmood-e-Raqi,محمود راقی,محمود راقی,KAO,AF02
district,AF1308,Lija Ahmad Khel,لجه احمد خیل,لجه احمد خیل,KAO,AF13
district,AF1312,Lazha Mangal,لجه منګل,لجه منګل,KAO,AF13
district,AF3309,Lash-e-Juwayn,لاش و جوین,لاش و جوین,HAO,AF33
district,AF2307,Lal Wa Sarjangal,لعل و سرجنگل,لعل و سرجنگل,KAO,AF23
district,AF3210,Kushk-e-Kuhna,کشک کهنه,کشک کهنه,HAO,AF32
district,AF3207,Kushk,کشک,کشک,HAO,AF32
district,AF3213,Kohsan,کوهسان,کوهسان,HAO,AF32
district,AF3219,Koh-i-Zor,کوه زور  ,کوه زور  ,HAO,AF32
district,AF0308,Koh-e-Safi,کوه صافی,کوه صافی,KAO,AF03
district,AF3216_3,Koh Zor,کوه زور,کوه زور,HAO,AF32
district,AF0203,Koh Band,کوه بند,کوه بند,KAO,AF02
district,AF2405,Kiti,کیتی,کیتی,KAO,AF24
district,AF1103,Khwaja Umari,خواجه عمری,خواجه عمری,KAO,AF11
district,AF12NA2,Khushamand,خوشامند,خوشامند,KAO,AF12
district,AF0504,Khoshi,خوشی,خوشی,KAO,AF05
district,AF0804,Khenj,خنج (حصه اول),خنج (حصه اول),KAO,AF08
district,AF0506,Kharwar,خروار,خروار,KAO,AF05
district,AF3303,Khak-e-Safed,خاک سفید,خاک سفید,HAO,AF33
district,AF0109,Khak-e-Jabbar,خاک جبار,خاک جبار,KAO,AF01
district,AF2404,Khadir,خدیر,خدیر,KAO,AF24
district,AF3204,Karukh,کرخ,کرخ,HAO,AF32
district,AF0110,Kalakan,کلکان,کلکان,KAO,AF01
district,AF2408,Kajran,کجران,کجران,KAO,AF24
district,AF1004,Kahmard,کهمرد,کهمرد,KAO,AF10
district,AF0101,Kabul,کابل,کابل,KAO,AF01
district,AF3106,Jawand,جوند,جوند,HAO,AF31
district,AF1209,Jani Khel,جانی خیل,جانی خیل,KAO,AF12
district,AF1309,Jani Khel,جانی خیل,جانی خیل,KAO,AF13
district,AF0403,Jalrez,جلریز,جلریز,KAO,AF04
district,AF1413,Jaji Maydan,ځاځی میدان,ځاځی میدان,KAO,AF14
district,AF1307,Jaji,جاجی آریوب,جاجی آریوب,KAO,AF13
district,AF1114,Jaghuri,جاغوری,جاغوری,KAO,AF11
district,AF0408,Jaghatu,جغتو,جغتو,KAO,AF04
district,AF1106,Jaghatu,جغتو,جغتو,KAO,AF11
district,AF0305,Jabal Saraj,جبل السراج,جبل السراج,KAO,AF03
district,AF3202,Injil,انجیل,انجیل,HAO,AF32
district,AF1501,Asad Abad,اسد آباد,اسد آباد,JAO,AF15
district,AF1508,Bar Kunar,بر کنړ,بر کنړ,JAO,AF15
district,AF1513,Chapa Dara,چپه دره,چپه دره,JAO,AF15
district,AF1509,Chawkay,چوکۍ,چوکۍ,JAO,AF15
district,AF1512,Dangam,دانګام,دانګام,JAO,AF15
district,AF1507,Dara-e-Pech,دره پیچ,دره پیچ,JAO,AF15
district,AF1511,Ghazi Abad,غازی آباد,غازی آباد,JAO,AF15
district,AF1510,Khas Kunar,خاص کنړ,خاص کنړ,JAO,AF15
district,AF1502,Marawara,مروره,مروره,JAO,AF15
district,AF1504,Narang,نرنګ,نرنګ,JAO,AF15
district,AF1515,Nari,ناری,ناری,JAO,AF15
district,AF1514,Nurgal,نورګل,نورګل,JAO,AF15
district,AF1505,Sar Kani,سرکانی,سرکانی,JAO,AF15
district,AF1506,Shigal,شیګل,شیګل,JAO,AF15
district,AF1506_1,Sheltan,شلتن ,شلتن,JAO,AF15
district,AF1503,Watapur,وته پور,وته پور,JAO,AF15
district,AF1608,Barg-e-Matal,برگ متال,برگ متال,JAO,AF16
district,AF1605,Duab,دو آب,دو آب,JAO,AF16
district,AF1606,Kamdesh,کامدیش,کامدیش,JAO,AF16
district,AF1607,Mandol,مندول,مندول,JAO,AF16
district,AF1604,Nurgaram,نورگرام,نورگرام,JAO,AF16
district,AF1601,Parun,پارون,پارون,JAO,AF16
district,AF1603,Wama,واما,واما,JAO,AF16
district,AF1602,Waygal,وایگل,وایگل,JAO,AF16
district,AF1703,Arghanj Khwah,ارغنج خواه,ارغنج خواه,FAO,AF17
district,AF1702,Argo,آرگو,آرگو,FAO,AF17
district,AF1706,Baharak,بهارک,بهارک,FAO,AF17
district,AF1707,Darayem,درایم,درایم,FAO,AF17
district,AF1727,Dawraz-e-Bala,درواز بالا,درواز بالا,FAO,AF17
district,AF1722,Dawraz-e-Payin,دروازه پایین,دروازه پایین,FAO,AF17
district,AF1723,Eshkashem,اشکاشم,اشکاشم,FAO,AF17
district,AF1701,Fayzabad,فیض آباد,فیض آباد,FAO,AF17
district,AF1710,Jorm,جرم,جرم,FAO,AF17
district,AF1715,Keshem,کشم,کشم,FAO,AF17
district,AF1705,Khash,خاش,خاش,FAO,AF17
district,AF1720,Khwahan,خواهان,خواهان,FAO,AF17
district,AF1721,Kofab,خواهان,کوف آب,FAO,AF17
district,AF1708,Kohistan,کوهستان,کوهستان,FAO,AF17
district,AF1726,Koran Wa Monjan,کران و منجان,کران و منجان,FAO,AF17
